website_name;competence_date;country_code;currency_code;listing_id;operation_type;property_type;title;price;price_original;price_per_sqm;area_sqm;rooms;bathrooms;floor;has_elevator;has_parking;has_terrace;has_garden;has_pool;energy_certificate;region;city;neighborhood;address_raw;latitude;longitude;agency_name;contact_phone;description;itemurl;imageurl
rightmove.co.uk;2026-09-21;GBR;GBP;105855104;sale;Detached;Detached in Chigwell Rise, Chigwell, Essex, IG7;1300000.00;1300000.00;9629.63;135.00;5;3;;;;;;;;Epping Forest;Chigwell;Chigwell Rise, Chigwell, Essex, IG7;Chigwell Rise, Chigwell, Essex, IG7;51.621139;0.074882;John Thoma Bespoke Estate Agency;;A SPACIOUS FIVE BEDROOM DETACHED HOME WITH EXCELLENT POTENTIAL TO DEVELOP SUBJECT TO PLANNING PERMISSION & WITH NO ONGOING CHAIN. EXCELLENTLY LOCATED JUST A SHORT WALK TO CHIGWELL'S CENTRAL LINE STATION, SOUGHT AFTER SCHOOLS, RESTAURANTS, SHOPS & LOCAL AMENITIES. THE PROPERTY IS CURRENTLY OVER 2,700;https://www.rightmove.co.uk/properties/105855104#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/af601ddf2/105855104/af601ddf2e326fed23d575cba2407a28_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107002754;sale;Plot;Plot in Site 1, Lower Achachenna, Kilchrenan, Taynuilt, PA35;79500.00;79500.00;2271.43;35.00;0;;;;;;;;;Argyllshire;Taynuilt;Site 1, Lower Achachenna, Kilchrenan, Taynuilt, PA35;Site 1, Lower Achachenna, Kilchrenan, Taynuilt, PA35;56.346832;-5.18791;Bell Ingram;;A prime development plot set in an elevated position on the fringe of the popular rural village of Kilchrenan;https://www.rightmove.co.uk/properties/107002754#/?channel=COM_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5ff3a42fa/107002754/5ff3a42fa59a668fe524f9327443b93b_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;106207112;sale;Detached;Detached in New Cross, Aberystwyth, Ceredigion, SY23;270000.00;270000.00;2842.11;95.00;3;;;;1;;;;;Ceredigion;Aberystwyth, Llanon, Llanrhystud;New Cross, Aberystwyth, Ceredigion, SY23;New Cross, Aberystwyth, Ceredigion, SY23;52.374003;-4.007888;Morris Marshall & Poole;;An exciting opportunity to acquire a Freehold property, currently as a Public House but with planning consent for change of use, within a strong rural community with 3 bedroom accommodation currently let as Airbnb. Well equipped throughout, parking to the rear. Aberystwyth 4 miles.;https://www.rightmove.co.uk/properties/106207112#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b823dd684/106207112/b823dd684096e74c1da52de3fa897b57_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;104229446;sale;Retirement Property;Retirement Property in No. 29, Richmond Villages Nantwich, St. Josephs Way, Cheshire, CW5 6TD;249950.00;249950.00;3332.67;75.00;2;2;;;;;;;;Cheshire East;Nantwich, Willaston;No. 29, Richmond Villages Nantwich, St. Josephs Way, Cheshire, CW5 6TD;No. 29, Richmond Villages Nantwich, St. Josephs Way, Cheshire, CW5 6TD;53.064572;-2.503107;Richmond Villages;;Located on the South side of the bowling green, this lovely property has is beautifully decorated throughout. With two bedrooms, an en-suite and guest wc and a galley kitchen that has views across the bowling green.;https://www.rightmove.co.uk/properties/104229446#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9be63614d/104229446/9be63614d3120826414f48da25259f66_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;102409016;sale;Flat;Flat in Penkett Road, Wallasey, Merseyside;120000.00;120000.00;1600.00;75.00;2;1;;;1;;1;;;Wirral;New Brighton, Wallasey, Wallasey Village;Penkett Road, Wallasey, Merseyside;Penkett Road, Wallasey, Merseyside;53.426714;-3.037442;Bakewell and Horner;;A great size two bedroom second floor apartment. This apartment offers a good size lounge and modern kitchen with bathroom and separate shower. Off road parking and communal gardens. No chain, vacant possession.;https://www.rightmove.co.uk/properties/102409016#/?channel=RES_BUY;
rightmove.co.uk;2026-09-21;GBR;GBP;107233730;sale;Flat;Flat in Navigation Walk, Wakefield;85000.00;85000.00;1545.45;55.00;1;1;;;1;;;;;Wakefield;Alverthorpe, Eastmoor, Kirkthorpe, Outwood, Wakefield City Centre;Navigation Walk, Wakefield;Navigation Walk, Wakefield;53.67395;-1.49105;William H. Brown;;Ideally suits the professional or those requiring a good amount of privacy in a fantastic location for commuting! One Bedroom third Floor Apartment! Covered underground parking in a secure Garage area. Ideal location for train stations, Newmillerdam, Sandal, Hepworth Gallery, Wakefield city centre!;https://www.rightmove.co.uk/properties/107233730#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/362d6a3a3/107233730/362d6a3a39132df5a946cdd96399e1da_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107249480;sale;Flat;Flat in West Street, Blandford Forum, Dorset, DT11;125000.00;125000.00;1666.67;75.00;2;1;;;;;;;;North Dorset;Blandford Forum;West Street, Blandford Forum, Dorset, DT11;West Street, Blandford Forum, Dorset, DT11;50.85592;-2.16617;Chaffers;;A south facing first floor flat, located in the town centre, currently rented out for £825 pcm. Hall, sitting room, kitchen, 2 bedrooms, bathroom, gas central heating. No forward chain;https://www.rightmove.co.uk/properties/107249480#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ad5d73dd1/107249480/ad5d73dd1c88ef71ef8ac97230fe88f3_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;106361894;sale;Penthouse;Penthouse in Etruria Court, Etruria, Stoke-on-Trent, ST1 5PW;110000.00;110000.00;1466.67;75.00;2;1;;;;;;;;Staffordshire;Hanley, Cobridge, Sneyd Green;Etruria Court, Etruria, Stoke-on-Trent, ST1 5PW;Etruria Court, Etruria, Stoke-on-Trent, ST1 5PW;53.02085;-2.19778;Louis Taylor;;IMPRESSIVE PENTHOUSE APARTMENT, IDEAL INVESTMENT OPPORTUNITY, TENNANT IN SITU. This extremely well presented executive second floor apartment is currently tenanted on an assured short hold tenancy offering an annual income of £9,600 (£800pcm) The property occupies a fantastic position, ...;https://www.rightmove.co.uk/properties/106361894#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a1fe5f930/106361894/a1fe5f9305d6c077eb817f2fe17158f6_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;103195697;sale;Apartment;Apartment in Milford House, 190 The Strand, WC2R;2000000.00;2000000.00;22732.44;87.98;2;2;;;1;1;;;;Westminster;Somerset House;Milford House, 190 The Strand, WC2R;Milford House, 190 The Strand, WC2R;51.51233;-0.11396;Invest & Co;;**Available Now - 190 The Strand WC2** Superb Value | World Class Location | Landmark Development | High Specification | Luxurious Amenities | FOR SALE | Milford House | 190 The Strand Two Bed Two Bath | Third Floor | West Facing | 947sqft + Balcony | Secure Parking Included.;https://www.rightmove.co.uk/properties/103195697#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a478c4a32/103195697/a478c4a3296a8e520a37a3b80a41687b_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;106123958;sale;Terraced;Terraced in Park Avenue, Porthcawl, Bridgend (County of), CF36;275000.00;275000.00;2391.30;115.00;4;2;;;;1;;;;Bridgend;Porthcawl, Nottage, Newton;Park Avenue, Porthcawl, Bridgend (County of), CF36;Park Avenue, Porthcawl, Bridgend (County of), CF36;51.48033;-3.70741;Prestons;;Prestons are delighted to market for sale this substantial four bedroom mid terraced property located in a desirable area of the coastal town of Porthcawl. Within walking distance to Porthcawl town centre, schools and Rest Bay beach.;https://www.rightmove.co.uk/properties/106123958#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a9791d442/106123958/a9791d44286d7a6f4fe6c145ade00d26_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;104943584;sale;Land;Land in Davis Wood, Brissenden Green Lane, Bethersden, Ashford, Kent, TN263JX;5000.00;5000.00;142.86;35.00;0;0;;;;;;;;Ashford;Bethersden, Woodchurch, Shadoxhurst;Davis Wood, Brissenden Green Lane, Bethersden, Ashford, Kent, TN263JX;Davis Wood, Brissenden Green Lane, Bethersden, Ashford, Kent, TN263JX;51.115929;0.757496;Tribute Land;;Greenbelt Amenity woodland available a variety of uses subject to the necessary consent.£5000 for 900 m2£6000 for 1000 m2£7000 for 1100 m2£8000 for 1200 m2Multiple plots available if required;https://www.rightmove.co.uk/properties/104943584#/?channel=COM_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ebf201a1a/104943584/ebf201a1a347b87f00c59386c2173de8_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107083775;sale;Flat;Flat in Waterloo House, Thornaby Place, Stockton-On-Tees, ., TS17;70000.00;70000.00;1272.73;55.00;1;1;;;;;;;;Stockton-on-Tees;Thornaby, Ingleby Barwick, Stainton;Waterloo House, Thornaby Place, Stockton-On-Tees, ., TS17;Waterloo House, Thornaby Place, Stockton-On-Tees, ., TS17;54.555791;-1.308893;Bridgfords;;On the market for sale with **NO ONWARD CHAIN** this one bedroom apartment has been finished to the highest standard and also benefits from security access. Waterloo house is ideally located in a private, quiet development overlooking the River tees with easy access to the A66 and a short walk to...;https://www.rightmove.co.uk/properties/107083775#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/421b0ca10/107083775/421b0ca108ca8751ddb5d1cf82e30061_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107394758;sale;Apartment;Apartment in Minster Court , Bracebridge Heath;89000.00;89000.00;1186.67;75.00;2;1;;;;;1;;;North Kesteven;Branston, Canwick, Coningsby, Dunston, Heighington, Nocton, Washingborough, Timberland, Martin;Minster Court , Bracebridge Heath;Minster Court , Bracebridge Heath;53.19545;-0.53289;King & Co;;This spacious 2nd floor apartment at the ever popular retirement village of Minster Court in Bracebridge Heath is offered for sale with No Chain. The apartment benefits from gas central heating, 2 bedrooms, bathroom, fully fitted kitchen and lounge. The gated complex has communal gardens, ample ...;https://www.rightmove.co.uk/properties/107394758#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b1d07f99c/107394758/b1d07f99c50d69ba28315768a233fddc_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107067143;sale;Flat;Flat in Prosperity House, Gower Street, Derby, Derbyshire, DE1;110000.00;110000.00;1466.67;75.00;2;1;;;;;;;;Derby;Derby city centre;Prosperity House, Gower Street, Derby, Derbyshire, DE1;Prosperity House, Gower Street, Derby, Derbyshire, DE1;52.919802;-1.477325;Frank Innes;;A spacious, well presented two bedroom apartment in a city centre location. The property benefits from electric heating and double glazed windows. You enter the property into the hallway which provides access to the bathroom, bedroom one and open plan lounge/kitchen. Off the kitchen is bedroom tw...;https://www.rightmove.co.uk/properties/107067143#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0784fcde3/107067143/0784fcde31eec0ec6b932a800f18cc17_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;104553599;sale;Apartment;Apartment in City Gate House, Eastern Avenue, Ilford, Redbridge;225000.00;225000.00;4090.91;55.00;1;1;;;;;;;;Redbridge;Gants Hill, Newbury Park;City Gate House, Eastern Avenue, Ilford, Redbridge;City Gate House, Eastern Avenue, Ilford, Redbridge;51.576369;0.06844;Real Move Estates;;Located in one of Gants Hill's sought after developments is this lovely one bedroom apartment situated on the 5th floor and just a stone throw away from Gants Hill Station (Central Line) Being offered with NO ONWARDS CHAIN!;https://www.rightmove.co.uk/properties/104553599#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/13965164e/104553599/13965164e14e696b4ab66408722b154b_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;104194634;sale;Land;Land in Springwood Road, Heathfield, East Sussex, TN218JX;5000.00;5000.00;142.86;35.00;0;0;;;;;;;;Rother;Heathfield;Springwood Road, Heathfield, East Sussex, TN218JX;Springwood Road, Heathfield, East Sussex, TN218JX;50.97324;0.24871;Tribute Land;;Greenbelt agricultural land. Available for agricultural or leisure use. Or residential or commercial use subject to the necessary consent.£5000 for 800 m2£6000 for 1000 m2£7000 for 1200 m2£8000 for 1400 m2Multiple plots available if required.;https://www.rightmove.co.uk/properties/104194634#/?channel=COM_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/674a2868a/104194634/674a2868a8698d008677a086c01b93cf_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107606096;sale;Flat;Flat in Flat 5, Eastbank Court, Eastbank Drive, Off Northwick Road, Worcester, WR3 7EW;130000.00;130000.00;2363.64;55.00;1;1;;;;1;;;;Worcester;Worcester;Flat 5, Eastbank Court, Eastbank Drive, Off Northwick Road, Worcester, WR3 7EW;Flat 5, Eastbank Court, Eastbank Drive, Off Northwick Road, Worcester, WR3 7EW;52.21235;-2.23061;Kingsdale Group Limited;;Retirement Property: A bright and sunny ground floor, one bedroom apartment, close to amenities within the complex. The apartment consists of a large living area with a modern feature fireplace and French doors opening onto a patio area...;https://www.rightmove.co.uk/properties/107606096#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7a62efa00/107606096/7a62efa00515cd65d941291ec9f73e25_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107182112;sale;Flat;Flat in Woodfield Road, Altrincham, WA14;210000.00;210000.00;2800.00;75.00;2;2;;;;;;;;Trafford;Altrincham, Bowdon, Broadheath, Dunham Town, Timperley, Dunham Massey, Little Bollington;Woodfield Road, Altrincham, WA14;Woodfield Road, Altrincham, WA14;53.396961;-2.35596;Bridgfords;;Offered with no forward chain a well presented triplex apartment benefitting from spacious accommodation throughout. In brief the property comprises: contemporary kitchen/ dining room, generous open plan living/ seating area, two double bedrooms one of which is an en-suite with dress...;https://www.rightmove.co.uk/properties/107182112#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0de6dd6eb/107182112/0de6dd6eb50596fa735d3786f0651681_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;100528037;sale;Apartment;Apartment in Cartwright Court, Church Street, Malvern, Worcestershire, WR14 2GE;99950.00;99950.00;1817.27;55.00;1;1;;;;;;;;Malvern Hills;Malvern;Cartwright Court, Church Street, Malvern, Worcestershire, WR14 2GE;Cartwright Court, Church Street, Malvern, Worcestershire, WR14 2GE;52.112545;-2.324321;McCarthy & Stone Resales;;STUNNING VIEWS OF THE MALVERN HILLS *Lovely one bedroom retirement apartment in a ready to move into condition situated on the 2nd level in Church Block - Cartwright Court*. ENJOY LUNCH ON US WHEN YOU TAKE A TOUR OF CARTWRIGHT COURT - BOOK NOW!;https://www.rightmove.co.uk/properties/100528037#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/327c8dcd8/100528037/327c8dcd891f8f524c98428d31cadc3b_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;100262882;sale;Retirement Property;Retirement Property in No. 3/1, Richmond Village Painswick, Stroud Road, Gloucestershire, GL6 6UL;340000.00;340000.00;6181.82;55.00;1;1;;;;;;;;Stroud;Nailsworth, Painswick;No. 3/1, Richmond Village Painswick, Stroud Road, Gloucestershire, GL6 6UL;No. 3/1, Richmond Village Painswick, Stroud Road, Gloucestershire, GL6 6UL;51.78175;-2.19927;Richmond Villages;;This exceptional one-bedroom assisted living apartment boasts light and airy, spacious accommodation benefitting from a large west facing sitting room and bedroom. Easy lift access to the main Village facilities including the café, restaurant, village shop and reception.;https://www.rightmove.co.uk/properties/100262882#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/12b9343c2/100262882/12b9343c2fb1250b353745786f0af6ab_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;107603375;sale;Apartment;Apartment in 33 Eastland Grange, 16 Valentine Road, Hunstanton;135000.00;135000.00;2454.55;55.00;1;1;;;;1;;;;West Norfolk;Hunstanton, Holme, Ringstead, Sedgeford, Thornham;33 Eastland Grange, 16 Valentine Road, Hunstanton;33 Eastland Grange, 16 Valentine Road, Hunstanton;52.938762;0.493935;McCarthy & Stone Resales;;ENJOY LUNCH ON US WHEN YOU TAKE A TOUR OF EASTLAND GRANGE - BOOK NOW! *70% shared ownership lease with the potential to staircase to 100% leasehold in the future* A SPACIOUS one bedroom apartment situated on the second floor with a JULIET BALCONY. Eastland Grange is a DESIRABLE MCC...;https://www.rightmove.co.uk/properties/107603375#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6dac5cf95/107603375/6dac5cf95cbcf5f6184456a1460c32cb_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;106924841;sale;Flat;Flat in Crownmead Way, Romford, Essex, RM7;200000.00;200000.00;3636.36;55.00;1;1;;;;;;;;Havering;Rush Green, Mawneys, Romford;Crownmead Way, Romford, Essex, RM7;Crownmead Way, Romford, Essex, RM7;51.58197;0.160775;Woodland;;Guide Price £200,000 - £220,000. GREAT FIRST TIME PURCHASE OR INVESTMENT - within easy access of the A12, Romford and Collier Row town centre - OFFERED WITH NO ONWARD CHAIN.;https://www.rightmove.co.uk/properties/106924841#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c65c95fa7/106924841/c65c95fa7e8b8e8ebeab5ee0bdbc9418_max_476x317.jpeg
rightmove.co.uk;2026-09-21;GBR;GBP;100850585;sale;Park Home;Park Home in Blackpool Road, Kirkham, Preston, PR4;20000.00;20000.00;266.67;75.00;2;0;;;;;;;;Fylde;Becconsall, Catforth, Clifton, Cottam, Eaves, Elswick, Freckleton, Hesketh Bank, Hutton, Inskip, Kirkham, Longton, Much Hoole, New Longton, Newton, Tarleton, Thistleton, Walmer Bridge, Warton, Wesham, Woodplumpton, Wrea Green;Blackpool Road, Kirkham, Preston, PR4;Blackpool Road, Kirkham, Preston, PR4;53.782755;-2.899464;Park Homes;;Being Sold via tender!NO ONWARD CHAIN! Over 55s residential park home situated in a sought after cul de sac location, close to local amenities, a short distance to Ribby Hall Village and great transport links.;https://www.rightmove.co.uk/properties/100850585#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/238129648/100850585/238129648da12a9b1465f8bb35837aa8_max_476x317.png
rightmove.co.uk;2026-09-21;GBR;GBP;100922768;sale;Park Home;Park Home in www.fourseasonsparks.com Lancaster Road, Lancaster, Lancashire, LA3;140000.00;140000.00;1866.67;75.00;2;2;;;;;;;;Lancaster;Morecambe, Heysham, Middleton, Overton, Sunderland Point;www.fourseasonsparks.com Lancaster Road, Lancaster, Lancashire, LA3;www.fourseasonsparks.com Lancaster Road, Lancaster, Lancashire, LA3;54.04813;-2.84288;Park Homes;;DOUBLE 2 BEDROOM LODGE WITH WRAP AROUND DECKING OVERLOOKING THE RIVER LUNE ON QUIET LOCATION;https://www.rightmove.co.uk/properties/100922768#/?channel=RES_BUY;https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4fd7476e1/100922768/4fd7476e1a908526af7a8d8c3a8b621b_max_476x317.jpeg
